time_iso8601,forks_cumulative
2020-02-06 00:00:00+00:00,1
2020-06-18 00:00:00+00:00,2
2020-09-28 00:00:00+00:00,3
2020-10-09 00:00:00+00:00,4
2021-02-26 00:00:00+00:00,5
2021-03-05 00:00:00+00:00,6
2021-03-10 00:00:00+00:00,7
2021-03-17 00:00:00+00:00,8
2021-03-31 00:00:00+00:00,9
2021-04-09 00:00:00+00:00,10
2021-04-16 00:00:00+00:00,11
2021-05-08 00:00:00+00:00,13
2021-06-01 00:00:00+00:00,14
2021-06-02 00:00:00+00:00,15
2021-06-10 00:00:00+00:00,16
2021-06-28 00:00:00+00:00,17
2021-07-05 00:00:00+00:00,18
2021-07-08 00:00:00+00:00,19
2021-07-09 00:00:00+00:00,20
2021-07-22 00:00:00+00:00,21
2021-08-02 00:00:00+00:00,22
2021-08-28 00:00:00+00:00,23
2021-09-09 00:00:00+00:00,24
2021-09-11 00:00:00+00:00,25
2021-09-22 00:00:00+00:00,26
2021-09-23 00:00:00+00:00,27
2021-10-03 00:00:00+00:00,28
2021-10-20 00:00:00+00:00,29
2021-10-21 00:00:00+00:00,30
2021-10-27 00:00:00+00:00,31
2021-11-10 00:00:00+00:00,33
2021-12-22 00:00:00+00:00,34
2022-01-05 00:00:00+00:00,35
2022-03-02 00:00:00+00:00,36
2022-03-21 00:00:00+00:00,37
2022-03-25 00:00:00+00:00,38
2022-03-28 00:00:00+00:00,39
2022-04-04 00:00:00+00:00,40
2022-04-05 00:00:00+00:00,42
2022-04-06 00:00:00+00:00,43
2022-04-28 00:00:00+00:00,44
2022-05-03 00:00:00+00:00,45
2022-05-16 00:00:00+00:00,46
2022-05-26 00:00:00+00:00,47
2022-05-27 00:00:00+00:00,48
2022-06-15 00:00:00+00:00,49
2022-06-17 00:00:00+00:00,50
2022-06-19 00:00:00+00:00,51
2022-07-05 00:00:00+00:00,52
2022-08-01 00:00:00+00:00,53
2022-08-07 00:00:00+00:00,54
2022-08-09 00:00:00+00:00,55
2022-08-26 00:00:00+00:00,56
2022-09-05 00:00:00+00:00,57
2022-09-19 00:00:00+00:00,58
2022-09-21 00:00:00+00:00,59
2022-10-10 00:00:00+00:00,60
2022-10-13 00:00:00+00:00,61
2022-10-18 00:00:00+00:00,63
2022-10-20 00:00:00+00:00,64
2022-10-27 00:00:00+00:00,65
2022-10-29 00:00:00+00:00,66
2022-10-31 00:00:00+00:00,67
2022-11-03 00:00:00+00:00,68
2022-11-04 00:00:00+00:00,69
2022-11-07 00:00:00+00:00,70
2022-11-13 00:00:00+00:00,71
2022-11-14 00:00:00+00:00,72
2022-11-16 00:00:00+00:00,73
2022-11-21 00:00:00+00:00,74
2022-12-04 00:00:00+00:00,75
2022-12-16 00:00:00+00:00,76
2022-12-23 00:00:00+00:00,77
2023-01-12 00:00:00+00:00,78
2023-01-16 00:00:00+00:00,79
2023-01-19 00:00:00+00:00,80
2023-01-22 00:00:00+00:00,81
2023-01-24 00:00:00+00:00,82
2023-01-26 00:00:00+00:00,83
2023-01-29 00:00:00+00:00,85
2023-02-02 00:00:00+00:00,86
2023-02-28 00:00:00+00:00,87
2023-03-08 00:00:00+00:00,88
2023-03-14 00:00:00+00:00,89
2023-03-28 00:00:00+00:00,90
2023-03-30 00:00:00+00:00,91
2023-04-01 00:00:00+00:00,92
2023-04-03 00:00:00+00:00,93
2023-04-05 00:00:00+00:00,94
2023-04-18 00:00:00+00:00,95
2023-04-24 00:00:00+00:00,96
2023-04-27 00:00:00+00:00,97
2023-04-28 00:00:00+00:00,98
2023-05-09 00:00:00+00:00,99
2023-05-10 00:00:00+00:00,100
2023-05-23 00:00:00+00:00,101
2023-06-08 00:00:00+00:00,102
2023-06-20 00:00:00+00:00,103
