time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-27 00:00:00+00:00,18,11,853,236
2025-10-28 00:00:00+00:00,38,18,867,248
2025-10-29 00:00:00+00:00,37,15,1031,238
2025-10-30 00:00:00+00:00,35,28,621,210
2025-10-31 00:00:00+00:00,27,23,562,184
2025-11-01 00:00:00+00:00,16,11,118,52
2025-11-02 00:00:00+00:00,7,6,92,42
2025-11-03 00:00:00+00:00,16,9,624,193
2025-11-04 00:00:00+00:00,12,6,731,224
2025-11-05 00:00:00+00:00,27,18,837,228
2025-11-06 00:00:00+00:00,15,11,775,189
2025-11-07 00:00:00+00:00,20,10,443,189
2025-11-08 00:00:00+00:00,30,12,87,38
2025-11-09 00:00:00+00:00,7,7,100,36
