"Problem","File","Severity","Line","Column","Rule","Description","URL","Category","Engine"
"1","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurgeScheduler.cls","3","11","27","AvoidGlobalModifier","Avoid using global modifier","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier","Best Practices","pmd"
"2","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurgeScheduler.cls","3","14","12","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurgeScheduler.cls","3","18","12","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurgeScheduler.cls","3","22","17","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurger.cls","3","11","27","AvoidGlobalModifier","Avoid using global modifier","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_bestpractices.html#avoidglobalmodifier","Best Practices","pmd"
"6","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurger.cls","3","21","12","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"7","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurger.cls","3","26","34","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"8","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurger.cls","3","46","17","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"9","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurger.cls","3","53","17","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"10","/Users/jloghry/workspace/NebulaLogger/nebula-logger/main/log-management/classes/LogBatchPurger.cls","3","66","17","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.36.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
